Date,Storage
10/2019,"144,733"
11/2019,"144,733"
12/2019,"148,808"
01/2020,"148,630"
02/2020,"148,273"
03/2020,"146,675"
04/2020,"146,144"
05/2020,"145,085"
06/2020,"143,679"
07/2020,"142,105"
08/2020,"140,887"
09/2020,"139,501"
10/2020,"138,638"
11/2020,"137,262"
12/2020,"134,701"
01/2021,"131,491"
02/2021,"127,986"
03/2021,"127,489"
04/2021,"126,663"
05/2021,"125,511"
06/2021,"124,200"
07/2021,"118,384"
08/2021,"110,377"
09/2021,"102,196"
10/2021,--

Month,Average
January,"79,400 af"
February,"82,400 af"
March,"85,000 af"
April,"77,800 af"
May,"77,300 af"
June,"86,800 af"
July,"89,100 af"
August,"88,600 af"
September,"85,900 af"
October,"80,900 af"
November,"78,300 af"
December,"77,800 af"
